restaurant_id,country,city,type_of_food
178,UK,London,chinese
179,UK,London,italian
181,UK,London,mediterranean
182,UK,London,dessert
183,UK,London,indian
186,UK,London,mediterranean
187,UK,London,mediterranean
188,UK,London,healthy
189,UK,London,italian
198,UK,London,german
199,UK,London,italian
200,UK,London,indian
205,UK,London,british
210,UK,London,british
222,UK,London,juices
226,UK,London,persian
231,UK,London,chicken
233,UK,London,juices
234,UK,London,juices
235,UK,London,pan asian
236,UK,London,healthy
237,UK,London,burgers
240,UK,London,italian
241,UK,London,italian
242,UK,London,italian
243,UK,London,italian
244,UK,London,chinese
245,UK,London,argentinian
248,UK,London,delicatessen
251,UK,London,european
252,UK,London,british
254,UK,London,italian
255,UK,London,chinese
256,UK,London,italian
257,UK,London,austrian
259,UK,London,burgers
260,UK,London,british
262,UK,London,dessert
264,UK,London,peruvian
267,UK,London,turkish
271,UK,London,american
272,UK,London,pizza
273,UK,London,italian
274,UK,London,burgers
275,UK,London,british
276,UK,London,american
278,UK,London,fish and chips
279,UK,London,thai
280,UK,London,vietnamese
284,UK,London,mexican
287,UK,London,georgian
288,UK,London,pan asian
291,UK,London,indian
295,UK,London,british
298,UK,London,british
300,UK,London,healthy
301,UK,London,italian
303,UK,London,italian
304,UK,London,italian
305,UK,London,american
306,UK,London,chinese
307,UK,London,korean
308,UK,London,thai
312,UK,London,italian
313,UK,London,indian
314,UK,London,japanese
315,UK,London,healthy
316,UK,London,healthy
317,UK,London,healthy
321,UK,London,indian
323,UK,London,italian
324,UK,London,australian
325,UK,London,mediterranean
328,UK,London,indian
329,UK,London,thai
330,UK,London,spanish
334,UK,London,mediterranean
337,UK,London,italian
338,UK,London,italian
340,UK,London,burgers
341,UK,London,dessert
342,UK,London,italian
343,UK,London,vegan
345,UK,London,american
347,UK,London,healthy
348,UK,London,persian
349,UK,London,indian
351,UK,London,greek
354,UK,London,dessert
355,UK,London,american
358,UK,London,healthy
359,UK,London,japanese
365,UK,London,american
373,UK,London,british
378,UK,London,creole
379,UK,London,pan asian
380,UK,London,indian
382,UK,London,mexican
383,UK,London,italian
385,UK,London,greek
387,UK,London,pan asian
388,UK,London,ethiopian
395,UK,London,dessert
404,UK,London,latin american
405,UK,London,burgers
406,UK,London,chicken
407,UK,London,chicken
408,UK,London,chicken
409,UK,London,modern british
411,UK,London,british
412,UK,London,japanese
413,UK,London,indian
420,UK,London,italian
421,UK,London,pan asian
423,UK,London,vietnamese
424,UK,London,pan asian
426,UK,London,indian
428,UK,London,indian
430,UK,London,italian
431,UK,London,mediterranean
434,UK,London,italian
436,UK,London,rotisserie
441,UK,London,pan asian
444,UK,London,caribbean
447,UK,London,italian
450,UK,London,indian
451,UK,London,argentinian
452,UK,London,thai
453,UK,London,lebanese
461,UK,London,thai
462,UK,London,thai
463,UK,London,thai
464,UK,London,burgers
465,UK,London,american
466,UK,London,burgers
467,UK,London,italian
469,UK,London,italian
471,UK,London,italian
472,UK,London,japanese
473,UK,London,burgers
474,UK,London,pan asian
475,UK,London,vietnamese
476,UK,London,georgian
478,UK,London,chinese
480,UK,London,argentinian
482,UK,London,bbq
483,UK,London,pizza
484,UK,London,american
485,UK,London,burgers
486,UK,London,chinese
488,UK,London,peruvian
489,UK,London,american
490,UK,London,ramen
491,UK,London,indian
492,UK,London,pizza
497,UK,London,latin american
498,UK,London,british
501,UK,London,healthy
503,UK,London,american
507,UK,London,italian
509,UK,London,italian
511,UK,London,greek
513,UK,London,pizza
516,UK,London,burgers
520,UK,London,indian
521,UK,London,american
522,UK,London,dessert
523,UK,London,burgers
524,UK,London,burgers
535,UK,London,soup
537,UK,London,italian
539,UK,London,chinese
540,UK,London,american
545,UK,London,vietnamese
555,UK,London,indian
556,UK,London,indian
557,UK,London,burgers
558,UK,London,australian
559,UK,London,italian
560,UK,London,healthy
563,UK,London,european
565,UK,London,italian
566,UK,London,dessert
567,UK,London,south indian
568,UK,London,indian
570,UK,London,italian
573,UK,London,chinese
578,UK,London,spanish
579,UK,London,burgers
582,UK,London,burgers
583,UK,London,thai
590,UK,London,burgers
592,UK,London,american
596,UK,London,australian
598,UK,London,italian
601,UK,London,mexican
604,UK,London,american
605,UK,London,international
606,UK,London,dessert
611,UK,London,japanese
616,UK,London,italian
619,UK,London,portuguese
621,UK,London,burgers
622,UK,London,middle eastern
624,UK,London,caribbean
626,UK,London,bbq
631,UK,London,indian
635,UK,London,pan asian
640,UK,London,japanese
648,UK,London,mediterranean
649,UK,London,australian
651,UK,London,american
653,UK,London,thai
654,UK,London,chicken
655,UK,London,italian
656,UK,London,japanese
657,UK,London,middle eastern
658,UK,London,indian
659,UK,London,indian
660,UK,London,italian
661,UK,London,ramen
663,UK,London,italian
665,UK,London,juices
666,UK,London,dessert
668,UK,London,modern british
669,UK,London,thai
670,UK,London,american
675,UK,London,bbq
682,UK,London,lebanese
684,UK,London,thai
686,UK,London,thai
687,UK,London,thai
692,UK,London,japanese
696,UK,London,vegan
705,UK,London,mediterranean
706,UK,London,american
707,UK,London,italian
708,UK,London,chinese
709,UK,London,italian
718,UK,London,lebanese
719,UK,London,italian
724,UK,London,middle eastern
726,UK,London,pizza
729,UK,London,lebanese
730,UK,London,indian
731,UK,London,thai
734,UK,London,juices
735,UK,London,burgers
741,UK,London,japanese peruvian
742,UK,London,indian
743,UK,London,indian
744,UK,London,italian
746,UK,London,indian
747,UK,London,japanese
748,UK,London,bakery
749,UK,London,spanish
750,UK,London,italian
751,UK,London,italian
756,UK,London,burgers
763,UK,London,italian
765,UK,London,vietnamese
766,UK,London,american
767,UK,London,greek
768,UK,London,indian
770,UK,London,vietnamese
774,UK,London,italian
775,UK,London,burgers
780,UK,London,juices
781,UK,London,british
785,UK,London,brazilian
787,UK,London,italian
789,UK,London,bakery
793,UK,London,italian
794,UK,London,pan asian
799,UK,London,italian
800,UK,London,spanish
803,UK,London,thai
805,UK,London,italian
806,UK,London,burgers
807,UK,London,thai
808,UK,London,mexican
811,UK,London,italian
812,UK,London,british
815,UK,London,burgers
817,UK,London,thai
818,UK,London,middle eastern
819,UK,London,indian
820,UK,London,spanish
821,UK,London,mexican
822,UK,London,argentinian
823,UK,London,asian fusion
826,UK,London,mediterranean
827,UK,London,sweet treats
829,UK,London,indian
831,UK,London,mediterranean
833,UK,London,middle eastern
836,UK,London,italian
842,UK,London,persian
844,UK,London,italian
845,UK,London,juices
846,UK,London,italian
848,UK,London,pan asian
850,UK,London,american
854,UK,London,vietnamese
855,UK,London,british
858,UK,London,burgers
859,UK,London,deli
860,UK,London,greek
861,UK,London,mediterranean
862,UK,London,japanese
863,UK,London,chinese
864,UK,London,burgers
869,UK,London,burgers
870,UK,London,vietnamese
871,UK,London,lebanese
874,UK,London,indian
879,UK,London,french
880,UK,London,british
882,UK,London,italian
885,UK,London,pizza
887,UK,London,japanese
888,UK,London,indian
895,UK,London,indian
896,UK,London,thai
898,UK,London,persian
899,UK,London,thai
900,UK,London,italian
902,UK,London,italian
904,UK,London,turkish
905,UK,London,juices
908,UK,London,japanese
911,UK,London,indian
912,UK,London,argentinian
913,UK,London,middle eastern
915,UK,London,healthy
916,UK,London,italian
917,UK,London,british
918,UK,London,thai
919,UK,London,chicken
921,UK,London,french
922,UK,London,italian
923,UK,London,deli
924,UK,London,healthy
925,UK,London,healthy
927,UK,London,brazilian
929,UK,London,south african
930,UK,London,french
931,UK,Brighton,vietnamese
932,UK,Brighton,japanese
933,UK,Brighton,chicken
935,UK,Brighton,burgers
936,UK,Brighton,juices
937,UK,Brighton,pizza
940,UK,Brighton,middle eastern
941,UK,Brighton,mexican
942,UK,Brighton,japanese
943,UK,Brighton,pizza
944,UK,Brighton,pizza
945,UK,Brighton,persian
951,UK,London,pizza
954,UK,London,japanese
955,UK,London,chicken
958,UK,London,american
959,UK,London,indian
960,UK,London,indian
961,UK,London,italian
962,UK,London,turkish
965,UK,London,italian
966,UK,Brighton,mexican
968,UK,London,indian
969,UK,London,lebanese
971,UK,London,indian
973,UK,Brighton,bbq
979,UK,London,south american
985,UK,London,chinese
988,UK,London,pizza
991,UK,London,italian
992,UK,London,healthy
993,UK,London,spanish
995,UK,London,indian
996,UK,London,thai
999,UK,Brighton,mexican
1000,UK,London,brazilian
1001,UK,London,brazilian
1005,UK,London,italian
1006,UK,London,greek
1008,UK,London,middle eastern
1010,UK,Brighton,japanese
1012,UK,London,pizza
1017,UK,London,spanish
1020,UK,London,pizza
1021,UK,London,vietnamese
1022,UK,London,vietnamese
1023,UK,London,vietnamese
1024,UK,London,vietnamese
1037,UK,Brighton,indonesian
1042,UK,London,japanese
1046,UK,London,japanese
1048,UK,London,middle eastern
1051,UK,London,japanese
1052,UK,London,burgers
1054,UK,London,turkish
1057,UK,London,french
1058,UK,Brighton,chinese
1059,UK,London,deli
1061,UK,London,pan asian
1062,UK,London,italian
1063,UK,London,deli
1065,UK,London,chinese
1066,UK,London,japanese
1067,UK,London,deli
1068,UK,London,american
1069,UK,London,deli
1070,UK,Brighton,indian
1075,UK,Brighton,bagels
1076,UK,Brighton,bagels
1077,UK,London,lebanese
1078,UK,London,lebanese
1079,UK,London,pizza
1081,UK,London,bbq
1082,UK,London,deli
1083,UK,London,deli
1085,UK,Manchester,burgers
1087,UK,London,american
1088,UK,Manchester,bbq
1089,UK,London,german
1090,UK,Manchester,healthy
1091,UK,Manchester,american
1092,UK,Manchester,american
1093,UK,Manchester,malaysian
1097,UK,Manchester,japanese
1099,UK,Manchester,pan asian
1100,UK,Manchester,chinese
1101,UK,Manchester,mexican
1102,UK,Manchester,british
1104,UK,Manchester,middle eastern
1105,UK,Manchester,indian
1107,UK,London,indian
1108,UK,London,international
1109,UK,London,international
1111,UK,London,brazilian
1112,UK,London,chinese
1113,UK,London,european
1116,UK,London,pan asian
1118,UK,Oxford,burgers
1119,UK,London,european
1120,UK,London,pan asian
1124,UK,London,turkish
1125,UK,London,thai
1126,UK,London,indian
1127,UK,London,italian
1136,UK,Oxford,burritos
1137,UK,London,italian
1147,UK,Oxford,nepalese
1148,UK,Oxford,italian
1149,UK,London,deli
1150,UK,London,italian
1152,UK,London,european
1154,UK,London,japanese
1155,UK,Oxford,indian
1158,UK,London,american
1159,UK,Oxford,italian
1160,UK,Oxford,lebanese
1161,UK,Oxford,chinese
1162,UK,Oxford,american
1164,UK,Oxford,american
1165,UK,London,burgers
1167,UK,London,british
1169,UK,London,burgers
1170,UK,Oxford,american
1171,UK,Manchester,burritos
1172,UK,London,european
1173,UK,London,italian
1174,UK,Oxford,pizza
1175,UK,London,indian
1176,UK,London,italian
1177,UK,London,indian
1181,UK,Oxford,lebanese
1182,UK,Oxford,italian
1183,UK,London,chinese
1188,UK,Manchester,pizza
1189,UK,London,lebanese
1190,UK,Manchester,italian
1191,UK,London,burgers
1194,UK,London,international
1199,UK,London,british
1200,UK,London,british
1203,UK,London,indian
1207,UK,London,italian
1208,UK,London,turkish
1209,UK,London,turkish
1210,UK,London,indian
1213,UK,London,vietnamese
1214,UK,London,italian
1215,UK,London,french
1216,UK,London,burgers
1217,UK,London,indian
1218,UK,London,chicken
1219,UK,London,italian
1220,UK,London,burgers
1226,UK,London,bbq
1227,UK,London,vietnamese
1228,UK,London,lebanese
1229,UK,London,italian
1231,UK,London,thai
1232,UK,London,italian
1233,UK,London,sandwiches
1239,UK,London,italian
1241,UK,London,european
1242,UK,London,italian
1243,UK,London,lebanese
1244,UK,London,british
1245,UK,London,italian
1246,UK,London,british
1249,UK,London,british
1250,UK,London,burgers
1251,UK,London,french
1253,UK,London,italian
1254,UK,London,indian
1255,UK,London,japanese
1258,UK,London,indian
1261,UK,London,modern british
1264,UK,London,bbq
1268,UK,London,american
1269,UK,London,british
1270,UK,London,pan asian
1271,UK,London,italian
1274,UK,London,vietnamese
1277,UK,London,indian
1284,UK,London,caribbean
1285,UK,London,american
1289,UK,London,indian
1290,UK,London,italian
1295,UK,Brighton,thai
1296,UK,London,burgers
1301,UK,London,diner
1302,UK,London,burritos
1303,UK,Brighton,burritos
1304,UK,London,burritos
1305,UK,London,international
1307,UK,London,indian
1310,UK,London,british
1311,UK,London,thai
1313,UK,London,japanese
1314,UK,London,italian
1315,UK,London,thai
1318,UK,Manchester,japanese
1319,UK,London,thai
1321,UK,London,chicken
1322,UK,London,british
1323,UK,London,thai
1326,UK,London,burritos
1327,UK,London,thai
1329,UK,London,mediterranean
1335,UK,London,italian
1340,UK,London,thai
1348,UK,London,juices
1350,UK,London,japanese
1351,UK,London,french
1352,UK,London,fish and chips
1360,UK,Manchester,italian
1361,UK,London,italian
1362,UK,Brighton,burgers
1363,UK,London,italian
1364,UK,Brighton,north african
1365,UK,London,british
1366,UK,London,caribbean
1368,UK,Brighton,fish and chips
1377,UK,Brighton,chicken
1380,UK,London,japanese
1382,UK,London,italian
1383,UK,London,italian
1384,UK,London,italian
1386,UK,London,vietnamese
1387,UK,London,italian
1389,UK,London,italian
1390,UK,London,burgers
1391,UK,Manchester,japanese
1392,UK,London,british
1393,UK,London,pizza
1394,UK,London,british
1397,UK,London,italian
1399,UK,London,argentinian
1400,UK,Oxford,healthy
1401,UK,London,pan asian
1402,UK,London,chinese
1403,UK,London,british
1404,UK,London,italian
1405,UK,London,italian
1406,UK,London,italian
1407,UK,London,dessert
1408,UK,London,italian
1410,UK,London,persian
1411,UK,Manchester,burgers
1413,UK,London,caribbean
1417,UK,London,european
1418,UK,London,international
1419,UK,London,fish and chips
1420,UK,London,fish and chips
1433,UK,London,burgers
1434,UK,London,dessert
1438,UK,London,thai
1442,UK,London,italian
1444,UK,London,lebanese
1445,UK,London,chinese
1448,UK,London,italian
1449,UK,London,chinese
1451,UK,London,italian
1452,UK,London,italian
1453,UK,London,greek
1454,UK,London,british
1455,UK,London,indian
1457,UK,London,healthy
1459,UK,London,korean
1461,UK,London,persian
1462,UK,London,burgers
1463,UK,London,mexican
1465,UK,London,indian
1466,UK,London,mexican
1467,UK,London,mediterranean
1469,UK,London,german
1470,UK,London,italian
1471,UK,London,burgers
1472,UK,London,european
1475,UK,London,chinese
1477,UK,London,argentinian
1479,UK,Manchester,argentinian
1480,UK,London,argentinian
1481,UK,London,argentinian
1482,UK,London,argentinian
1483,UK,London,argentinian
1484,UK,London,burgers
1485,UK,London,argentinian
1486,UK,London,chicken
1487,UK,London,chicken
1488,UK,London,chicken
1489,UK,London,chicken
1492,UK,Brighton,british
1494,UK,London,chinese
1495,UK,London,thai
1496,UK,Manchester,italian
1497,UK,London,korean
1498,UK,Manchester,italian
1499,UK,Brighton,thai
1500,UK,Oxford,italian
1504,UK,Oxford,indian
1510,UK,London,healthy
1512,UK,London,pizza
1514,UK,London,thai
1515,UK,London,vietnamese
1516,UK,Oxford,british
1518,UK,London,healthy
1519,UK,London,healthy
1520,UK,London,british
1522,UK,London,italian
1526,UK,Manchester,persian
1529,UK,Manchester,indian
1531,UK,Cambridge,italian
1532,UK,Cambridge,burgers
1533,UK,Cambridge,burgers
1534,UK,Cambridge,mexican
1538,UK,Reading,italian
1539,UK,Brighton,italian
1543,UK,Reading,indian
1548,UK,London,american
1556,UK,London,lebanese
1570,UK,London,vietnamese
1571,UK,London,italian
1572,UK,London,indian
1573,UK,London,peruvian
1582,UK,London,italian
1586,UK,London,italian
1587,UK,Brighton,chicken
1594,UK,London,thai
1595,UK,London,korean
1600,UK,Oxford,pizza
1601,UK,Manchester,burgers
1606,UK,Reading,american
1607,UK,Reading,indian
1614,UK,London,european
1615,UK,London,fish and chips
1617,UK,London,burgers
1620,UK,Birmingham,italian
1621,UK,Birmingham,chinese
1622,UK,Oxford,bbq
1624,UK,Birmingham,indian
1627,UK,Birmingham,nepalese
1633,UK,Birmingham,lebanese
1636,UK,Cambridge,burgers
1638,UK,Birmingham,burgers
1639,UK,Birmingham,burgers
1641,UK,Birmingham,burgers
1643,UK,Reading,italian
1644,UK,London,british
1645,UK,London,american
1646,UK,London,vietnamese
1647,UK,Manchester,european
1650,UK,London,burgers
1651,UK,Reading,burgers
1656,UK,London,french
1661,UK,Reading,burritos
1662,UK,London,italian
1664,UK,Reading,pan asian
1665,UK,London,chinese
1666,UK,Cambridge,pizza
1667,UK,Cambridge,burgers
1669,UK,London,greek
1672,UK,London,japanese
1673,UK,London,italian
1676,UK,London,pizza
1678,UK,London,japanese
1680,UK,London,american
1681,UK,Manchester,burgers
1682,UK,London,persian
1691,UK,London,lebanese
1692,UK,London,turkish
1694,UK,Birmingham,european
1696,UK,Birmingham,burritos
1697,UK,Cambridge,fish and chips
1698,UK,London,american
1701,UK,Cambridge,thai
1702,UK,London,italian
1705,UK,London,italian
1707,UK,London,mexican
1713,UK,London,british
1714,UK,London,american
1716,UK,Birmingham,mexican
1718,UK,Cambridge,pizza
1719,UK,Cambridge,creperie
1720,UK,Cambridge,italian
1721,UK,London,italian
1722,UK,Cambridge,north african
1724,UK,Bristol,italian
1725,UK,Bristol,pan asian
1727,UK,Bristol,deli
1728,UK,Bristol,deli
1731,UK,Bristol,chinese
1733,UK,Bristol,indian
1735,UK,Bristol,pizza
1736,Ireland,Dublin,italian
1737,UK,Bristol,mexican
1739,Ireland,Dublin,thai
1740,Ireland,Dublin,indian
1742,UK,Bristol,american
1743,UK,Bristol,lebanese
1746,UK,Bristol,burgers
1748,Ireland,Dublin,italian
1750,Ireland,Dublin,japanese
1751,Ireland,Dublin,fish and chips
1752,Ireland,Dublin,indian
1753,Ireland,Dublin,pizza
1754,Ireland,Dublin,thai
1756,Ireland,Dublin,fish and chips
1757,Ireland,Dublin,irish
1758,Ireland,Dublin,burgers
1759,Ireland,Dublin,irish
1760,Ireland,Dublin,bbq
1763,Ireland,Dublin,lebanese
1766,UK,London,italian
1770,UK,London,indian
1773,Ireland,Dublin,irish
1779,UK,London,pizza
1780,UK,London,healthy
1781,UK,Birmingham,indian
1782,UK,Brighton,pizza
1784,UK,Birmingham,american
1785,UK,Bristol,italian
1789,UK,London,pizza
1791,UK,London,american
1793,UK,London,british
1794,UK,London,british
1795,UK,London,italian
1799,UK,London,korean
1803,France,Paris,bakery
1804,UK,London,chinese
1805,UK,London,burgers
1812,UK,Reading,thai
1813,UK,London,burgers
1814,France,Paris,italian
1815,France,Paris,french
1816,France,Paris,american
1817,France,Paris,british
1818,France,Paris,japanese
1820,France,Paris,mediterranean
1821,UK,Bristol,burgers
1824,France,Paris,indian
1825,France,Paris,american
1826,France,Paris,indian
1827,France,Paris,lebanese
1830,UK,Bristol,burritos
1831,France,Paris,gluten free
1834,France,Paris,french
1835,France,Paris,italian
1836,UK,London,lebanese moroccan
1837,France,Paris,healthy
1841,UK,London,japanese
1843,France,Paris,mediterranean
1848,France,Paris,indian
1850,France,Paris,bakery
1851,France,Paris,indian
1853,France,Paris,italian
1863,France,Paris,american
1866,France,Paris,italian
1868,France,Paris,italian
1869,France,Paris,french
1871,France,Paris,french
1872,France,Paris,french
1873,France,Paris,italian
1874,France,Paris,gluten free
1875,France,Paris,indonesian
1877,France,Paris,japanese
1879,France,Paris,american
1880,France,Paris,japanese
1881,France,Paris,indian
1882,France,Paris,american
1883,France,Paris,pan asian
1884,France,Paris,american
1885,France,Paris,healthy
1886,France,Paris,lebanese
1887,France,Paris,american
1890,France,Paris,french
1891,France,Paris,thai
1893,UK,Cambridge,argentinian
1894,France,Paris,british
1895,UK,Manchester,burgers
1896,UK,Manchester,indian
1897,UK,Manchester,british
1900,UK,Manchester,turkish
1903,France,Paris,thai
1904,UK,London,american
1905,France,Paris,american
1906,France,Paris,american
1909,UK,London,pan asian
1910,France,Paris,french
1912,France,Paris,french
1913,UK,London,dessert
1915,UK,Birmingham,japanese
1917,UK,London,burgers
1918,Ireland,Dublin,healthy
1919,UK,Bristol,argentinian
1923,France,Paris,italian
1924,UK,London,british
1925,UK,Brighton,burgers
1926,UK,Brighton,bbq
1927,UK,London,american
1928,France,Paris,german
1930,UK,London,burgers
1932,UK,London,argentinian
1933,UK,Oxford,british
1934,UK,London,american
1935,France,Paris,vietnamese
1936,UK,London,korean
1937,Ireland,Dublin,healthy
1939,UK,London,thai
1941,UK,London,dessert
1942,UK,Birmingham,pan asian
1944,UK,London,deli
1945,UK,London,deli
1946,UK,London,deli
1947,UK,London,deli
1948,UK,Oxford,deli
1949,UK,London,deli
1950,UK,London,deli
1954,UK,Birmingham,european
1958,UK,London,argentinian
1959,UK,London,argentinian
1966,Ireland,Dublin,brazilian
1968,UK,London,pizza
1969,UK,London,american
1973,UK,London,italian
1975,UK,Cambridge,indian
1978,UK,London,italian
1980,UK,London,indian
1981,UK,Birmingham,indian
1982,UK,Birmingham,indian
1983,UK,Birmingham,indian
1986,UK,Birmingham,vegan
1990,UK,London,indian
1991,UK,London,italian
1993,France,Paris,vegan
1997,UK,Birmingham,caribbean
1998,UK,Birmingham,italian
2001,Germany,Berlin,vietnamese
2005,Germany,Berlin,middle eastern
2010,Germany,Berlin,italian
2011,Germany,Berlin,italian
2014,Germany,Berlin,international
2020,Germany,Berlin,burgers
2021,Germany,Berlin,mexican
2026,UK,Birmingham,british
2027,Germany,Berlin,burgers
2030,Germany,Berlin,japanese
2034,Germany,Berlin,vegan
2037,Germany,Berlin,vietnamese
2049,Ireland,Dublin,deli
2051,Ireland,Dublin,fish and chips
2056,Germany,Berlin,italian
2057,Ireland,Dublin,bistro
2063,Germany,Berlin,vietnamese
2065,UK,Birmingham,middle eastern
2068,UK,Manchester,british
2071,Germany,Berlin,international
2074,Germany,Berlin,american
2076,Germany,Berlin,italian
2079,Germany,Berlin,japanese
2080,Germany,Berlin,italian
2081,Ireland,Dublin,french
2082,Ireland,Dublin,burritos
2101,Germany,Berlin,italian
2102,UK,London,pizza
2104,UK,London,healthy
2105,UK,London,healthy
2106,UK,London,mexican
2107,UK,Manchester,indian
2108,UK,Manchester,japanese
2109,UK,London,thai
2111,UK,London,italian
2112,UK,London,italian
2113,UK,London,burgers
2117,UK,London,italian
2118,UK,London,indian
2122,Ireland,Dublin,american
2123,UK,London,healthy
2124,Germany,Berlin,burgers
2126,UK,London,healthy
2127,UK,London,pizza
2128,Ireland,Dublin,healthy
2129,UK,London,healthy
2130,France,Paris,pan asian
2131,Ireland,Dublin,pizza
2132,Ireland,Dublin,healthy
2135,UK,Birmingham,burgers
2136,UK,Manchester,british
2140,UK,London,italian
2142,UK,Brighton,italian
2143,UK,London,italian
2144,Germany,Berlin,japanese
2145,UK,London,argentinian
2146,Ireland,Dublin,pan asian
2148,France,Paris,american
2154,UK,Birmingham,indian
2156,UK,Manchester,british
2160,UK,London,italian
2161,UK,London,vietnamese
2162,UK,London,healthy
2163,UK,London,indian
2164,UK,London,french lebanese
2165,UK,London,burgers
2172,France,Paris,italian
2176,UK,London,indian
2177,UK,London,italian
2178,UK,London,italian
2179,UK,Manchester,italian
2180,UK,London,pizza
2181,UK,London,european
2184,UK,London,indian
2188,UK,London,healthy
2190,UK,Manchester,italian
2195,UK,Birmingham,spanish
2196,UK,Birmingham,italian
2197,UK,London,italian
2199,UK,London,rotisserie
2200,UK,Birmingham,indian
2201,France,Paris,french
2204,UK,Manchester,deli
2206,UK,London,lebanese
2212,UK,Manchester,pan asian
2214,UK,London,lebanese
2217,UK,London,italian
2222,UK,Brighton,italian
2223,UK,Manchester,german
2224,Ireland,Dublin,spanish tapas
2228,UK,London,british
2229,UK,Manchester,british
2230,UK,London,mexican
2231,Ireland,Dublin,healthy
2232,UK,London,chicken
2233,UK,Manchester,thai
2234,UK,Manchester,american
2235,UK,London,burgers
2236,UK,London,burgers
2237,UK,Manchester,deli
2239,UK,Manchester,mediterranean
2244,UK,Manchester,middle eastern
2246,Germany,Berlin,thai
2247,UK,London,american
2249,Ireland,Dublin,burgers
2250,Ireland,Dublin,burgers
2253,UK,London,japanese
2254,UK,Birmingham,indian
2258,Germany,Berlin,sushi
2264,UK,Birmingham,pan asian
2271,UK,London,chinese
2273,UK,London,burgers
2274,UK,Birmingham,caribbean
2276,UK,London,healthy
2277,UK,London,pan asian
2278,UK,Brighton,latin american
2279,UK,London,burgers
2280,UK,London,burgers
2285,UK,London,burritos
2286,UK,London,indian
2288,UK,London,lebanese
2289,UK,Brighton,pizza
2293,UK,London,japanese
2295,UK,London,american
2300,UK,Manchester,italian
2301,UK,Birmingham,indian
2302,France,Paris,italian
2303,France,Paris,american
2305,UK,Birmingham,indian
2308,UK,London,mediterranean
2309,UK,Nottingham,italian
2310,France,Paris,chicken
2311,France,Paris,north african
2313,Ireland,Dublin,italian
2315,France,Paris,pizza
2321,France,Paris,sans gluten / brunch
2324,UK,London,thai
2326,Ireland,Dublin,bbq
2327,UK,London,italian
2328,UK,London,italian
2331,UK,Birmingham,italian
2333,Germany,Berlin,burgers
2336,UK,Nottingham,italian
2337,UK,Nottingham,pizza
2339,France,Paris,thaï / brunch
2341,Ireland,Dublin,italian
2342,France,Paris,mediterranean
2343,UK,London,italian
2345,UK,Manchester,deli
2346,France,Paris,gluten free
2348,UK,Nottingham,persian
2349,UK,Nottingham,burritos
2350,Germany,Berlin,international
2356,Germany,Berlin,italian
2359,Germany,Berlin,korean
2361,Germany,Berlin,chinese
2367,Germany,Berlin,italian
2371,UK,London,italian
2372,Germany,Berlin,japanese
2373,Germany,Berlin,vietnamese
2374,UK,London,lebanese
2376,UK,London,italian
2377,Ireland,Dublin,bakery
2378,France,Paris,american / brunch
2379,France,Paris,creole
2380,France,Paris,italian
2381,UK,Nottingham,indian
2383,Germany,Berlin,french
2384,Germany,Berlin,italian
2385,UK,Nottingham,japanese
