order_acknowledged_at,order_ready_at,order_value_gbp,restaurant_id,number_of_items,prep_time_seconds
2015-06-16 13:01:17.449761+01:00,2015-06-16 13:59:51.644408+01:00,18.6,255,2,3514
2015-06-16 18:04:23.661283+01:00,2015-06-16 19:18:26.050610+01:00,22.4,255,3,4442
2015-06-16 20:25:24.940995+01:00,2015-06-16 20:41:42.544015+01:00,33.6,255,3,977
2015-06-17 21:23:44.091467+01:00,2015-06-17 22:16:50.490747+01:00,57.7,255,7,3186
2015-06-17 21:43:32.892646+01:00,2015-06-17 21:59:07.326926+01:00,17.2,255,3,934
2015-06-19 20:53:35.327214+01:00,2015-06-19 21:10:09.905284+01:00,25.4,255,3,994
2015-06-20 22:07:57.451931+01:00,2015-06-20 22:37:08.510809+01:00,30.0,255,4,1751
2015-06-22 21:12:50.778830+01:00,2015-06-22 21:33:03.736880+01:00,17.2,255,3,1212
2015-06-22 23:00:54.527056+01:00,2015-06-22 23:23:21.307164+01:00,93.4,255,8,1346
2015-06-29 22:34:17.629256+01:00,2015-06-29 22:56:33.718490+01:00,24.1,255,3,1336
2015-06-30 18:20:32.078810+01:00,2015-06-30 18:36:55.130810+01:00,21.6,255,2,983
2015-06-01 10:34:00.351812+01:00,2015-06-01 14:02:30.351682+01:00,15.1,2276,3,12509
2015-06-01 11:22:56.328104+01:00,2015-06-01 13:23:57.316309+01:00,36.0,2276,4,7260
2015-06-01 12:44:57.076113+01:00,2015-06-01 13:38:04.838115+01:00,22.0,2276,4,3187
2015-06-01 17:46:39.374610+01:00,2015-06-01 18:10:36.795681+01:00,25.0,2276,3,1437
2015-06-01 19:01:57.298499+01:00,2015-06-01 19:16:33.151023+01:00,36.75,2276,5,875
2015-06-01 19:04:18.087648+01:00,2015-06-01 19:20:34.582147+01:00,17.5,2276,3,976
2015-06-01 19:06:53.985624+01:00,2015-06-01 19:20:44.898236+01:00,12.75,2276,3,830
2015-06-02 13:21:47.494935+01:00,2015-06-02 13:44:20.928107+01:00,15.0,2276,2,1353
2015-06-02 13:28:49.753383+01:00,2015-06-02 14:02:14.013841+01:00,38.35,2276,6,2004
2015-06-04 09:42:01.966295+01:00,2015-06-04 14:01:13.542408+01:00,201.2,2276,14,15551
2015-06-04 14:23:03.414793+01:00,2015-06-04 14:40:17.149647+01:00,27.98,2276,2,1033
2015-06-04 18:16:05.072587+01:00,2015-06-04 18:29:15.395411+01:00,17.75,2276,3,790
2015-06-05 12:10:47.666713+01:00,2015-06-05 13:28:36.684743+01:00,85.5,2276,6,4669
2015-06-05 12:30:03.471867+01:00,2015-06-05 13:33:05.578957+01:00,28.1,2276,3,3782
2015-06-05 13:38:25.645789+01:00,2015-06-05 13:48:35.900855+01:00,60.5,2276,6,610
2015-06-05 16:11:53.231822+01:00,2015-06-05 16:32:36.740749+01:00,17.75,2276,3,1243
2015-06-05 17:59:08.480369+01:00,2015-06-05 18:04:35.890775+01:00,13.75,2276,3,327
2015-06-06 13:25:20.307276+01:00,2015-06-06 13:51:36.698166+01:00,21.3,2276,4,1576
2015-06-06 16:16:32.322537+01:00,2015-06-06 16:32:37.986844+01:00,15.0,2276,2,965
2015-06-07 13:25:07.253577+01:00,2015-06-07 13:46:03.951661+01:00,16.35,2276,3,1256
2015-06-07 13:27:02.951207+01:00,2015-06-07 13:46:22.910498+01:00,41.75,2276,7,1159
2015-06-07 14:58:37.216715+01:00,2015-06-07 15:12:51.160487+01:00,24.85,2276,3,853
2015-06-07 17:27:27.652481+01:00,2015-06-07 17:47:18.806834+01:00,22.65,2276,4,1191
2015-06-07 18:20:48.412665+01:00,2015-06-07 18:34:37.644848+01:00,28.4,2276,5,829
2015-06-08 13:18:29.576750+01:00,2015-06-08 13:29:52.298066+01:00,23.34,2276,4,682
2015-06-08 14:11:38.442257+01:00,2015-06-08 14:20:57.553868+01:00,20.05,2276,3,559
2015-06-08 16:54:16.730736+01:00,2015-06-08 17:07:51.475479+01:00,21.5,2276,2,814
2015-06-09 17:57:32.475113+01:00,2015-06-09 18:12:08.450388+01:00,17.0,2276,3,875
2015-06-10 10:33:03.210120+01:00,2015-06-10 13:43:22.597196+01:00,22.85,2276,3,11419
2015-06-10 11:17:03.898150+01:00,2015-06-10 14:48:40.711157+01:00,29.75,2276,3,12696
2015-06-10 11:59:37.061397+01:00,2015-06-10 13:39:54.005825+01:00,17.0,2276,2,6016
2015-06-10 13:37:17.377766+01:00,2015-06-10 13:42:56.331837+01:00,15.1,2276,3,338
2015-06-10 16:14:40.447739+01:00,2015-06-10 16:33:45.733796+01:00,15.25,2276,4,1145
2015-06-11 12:36:10.527418+01:00,2015-06-11 13:24:52.557979+01:00,16.0,2276,2,2922
2015-06-11 15:00:46.213235+01:00,2015-06-11 15:11:30.252113+01:00,26.1,2276,2,644
2015-06-12 15:24:04.330577+01:00,2015-06-12 15:38:41.173741+01:00,21.8,2276,3,876
2015-06-13 13:04:41.267028+01:00,2015-06-13 13:36:02.902755+01:00,15.75,2276,2,1881
2015-06-14 16:04:49.761949+01:00,2015-06-14 16:28:04.360211+01:00,15.5,2276,4,1394
2015-06-14 16:24:33.125487+01:00,2015-06-14 16:36:19.534932+01:00,19.95,2276,3,706
2015-06-15 12:20:28.274692+01:00,2015-06-15 13:30:16.989140+01:00,39.5,2276,3,4188
2015-06-15 18:57:46.560531+01:00,2015-06-15 19:11:16.277777+01:00,19.6,2276,5,809
2015-06-16 17:56:50.934072+01:00,2015-06-16 18:07:34.867925+01:00,21.0,2276,3,643
2015-06-17 13:12:28.123380+01:00,2015-06-17 13:52:44.943576+01:00,26.85,2276,3,2416
2015-06-19 14:01:07.419288+01:00,2015-06-19 14:19:14.238622+01:00,29.55,2276,3,1086
2015-06-19 14:04:23.719581+01:00,2015-06-19 14:19:09.058794+01:00,15.0,2276,3,885
2015-06-20 14:32:03.515779+01:00,2015-06-20 15:04:12.456209+01:00,51.75,2276,5,1928
2015-06-20 15:10:19.932509+01:00,2015-06-20 15:13:47.167055+01:00,16.24,2276,4,207
2015-06-20 15:11:01.214374+01:00,2015-06-20 15:20:49.845539+01:00,16.5,2276,2,588
2015-06-20 17:23:56.358525+01:00,2015-06-20 17:53:57.981092+01:00,22.05,2276,4,1801
2015-06-20 17:26:53.953979+01:00,2015-06-20 17:53:58.066210+01:00,20.25,2276,4,1624
2015-06-21 13:46:17.402525+01:00,2015-06-21 14:04:00.466090+01:00,17.6,2276,4,1063
2015-06-21 14:48:08.988572+01:00,2015-06-21 15:00:32.298944+01:00,16.0,2276,3,743
2015-06-21 17:40:54.925063+01:00,2015-06-21 18:02:13.304241+01:00,29.65,2276,5,1278
2015-06-21 17:53:09.255460+01:00,2015-06-21 18:05:20.220789+01:00,33.75,2276,5,730
2015-06-21 17:58:11.632469+01:00,2015-06-21 18:02:10.420201+01:00,6.0,2276,1,238
2015-06-21 18:25:12.648728+01:00,2015-06-21 18:30:39.664925+01:00,16.05,2276,3,327
2015-06-22 12:31:10.579433+01:00,2015-06-22 13:30:59.241148+01:00,49.25,2276,5,3588
2015-06-22 13:09:24.898637+01:00,2015-06-22 13:26:03.416187+01:00,19.05,2276,2,998
2015-06-22 13:21:21.259125+01:00,2015-06-22 13:43:26.916628+01:00,23.9,2276,5,1325
2015-06-22 16:48:31.526479+01:00,2015-06-22 17:09:28.848471+01:00,17.0,2276,2,1257
2015-06-22 18:31:59.046282+01:00,2015-06-22 18:49:14.055931+01:00,21.5,2276,2,1035
2015-06-22 18:51:45.295906+01:00,2015-06-22 19:01:09.679620+01:00,20.35,2276,4,564
2015-06-22 18:55:26.703475+01:00,2015-06-22 19:17:26.505304+01:00,17.25,2276,3,1319
2015-06-22 18:57:57.581870+01:00,2015-06-22 19:12:46.786565+01:00,17.05,2276,2,889
2015-06-23 12:57:55.671234+01:00,2015-06-23 13:45:34.193616+01:00,15.1,2276,3,2858
2015-06-23 14:33:42.024707+01:00,2015-06-23 14:44:51.013204+01:00,37.2,2276,5,668
2015-06-24 11:22:43.249668+01:00,2015-06-24 13:35:16.274406+01:00,15.75,2276,2,7953
2015-06-24 12:54:33.855769+01:00,2015-06-24 13:31:18.432349+01:00,16.5,2276,2,2204
2015-06-24 12:56:34.705668+01:00,2015-06-24 13:31:18.066985+01:00,19.05,2276,2,2083
2015-06-24 13:22:28.691517+01:00,2015-06-24 13:30:52.718192+01:00,15.0,2276,2,504
2015-06-24 13:42:33.974216+01:00,2015-06-24 13:48:53.374513+01:00,19.0,2276,1,379
2015-06-24 14:11:57.085581+01:00,2015-06-24 14:25:58.543401+01:00,13.1,2276,2,841
2015-06-24 15:38:07.005594+01:00,2015-06-24 15:40:47.851761+01:00,15.2,2276,2,160
2015-06-24 15:55:13.455591+01:00,2015-06-24 15:59:34.807038+01:00,21.99,2276,3,261
2015-06-25 12:30:09.944501+01:00,2015-06-25 13:30:48.354811+01:00,43.5,2276,3,3638
2015-06-25 12:39:28.314209+01:00,2015-06-25 13:53:36.276371+01:00,22.3,2276,3,4447
2015-06-25 17:57:08.041477+01:00,2015-06-25 18:08:23.377526+01:00,15.75,2276,3,675
2015-06-25 18:34:05.735937+01:00,2015-06-25 18:41:19.472243+01:00,15.65,2276,5,433
2015-06-28 13:19:23.684054+01:00,2015-06-28 13:28:45.725904+01:00,20.7,2276,3,562
2015-06-28 13:34:19.941624+01:00,2015-06-28 13:45:49.209457+01:00,46.35,2276,6,689
2015-06-28 15:50:34.349354+01:00,2015-06-28 16:02:44.992412+01:00,16.75,2276,3,730
2015-06-28 16:35:51.648392+01:00,2015-06-28 17:04:54.962694+01:00,15.1,2276,3,1743
2015-06-28 17:10:27.226808+01:00,2015-06-28 17:34:10.604603+01:00,23.65,2276,5,1423
2015-06-28 18:03:22.642620+01:00,2015-06-28 18:18:13.530096+01:00,16.5,2276,2,890
2015-06-28 18:35:03.686619+01:00,2015-06-28 18:52:47.312816+01:00,33.3,2276,5,1063
2015-06-30 13:10:50.053433+01:00,2015-06-30 13:31:43.654891+01:00,23.75,2276,4,1253
2015-06-30 13:34:25.083675+01:00,2015-06-30 13:45:41.843823+01:00,26.0,2276,2,676
2015-06-30 16:21:25.872534+01:00,2015-06-30 16:34:52.267288+01:00,19.25,2276,2,806
2015-06-30 16:52:29.316835+01:00,2015-06-30 18:08:49.207296+01:00,23.5,2276,6,4579
2015-06-01 12:05:16.201407+01:00,2015-06-01 15:43:20.740226+01:00,30.95,1941,2,13084
2015-06-06 19:59:15.436453+01:00,2015-06-06 20:02:40.240888+01:00,15.4,1941,6,204
2015-06-07 18:15:31.695345+01:00,2015-06-07 18:23:24.786603+01:00,19.9,1941,6,473
2015-06-12 19:45:05.077466+01:00,2015-06-12 19:57:41.524744+01:00,17.4,1941,5,756
2015-06-13 17:33:41.724908+01:00,2015-06-13 17:39:04.004135+01:00,15.3,1941,4,322
2015-06-14 14:09:02.771118+01:00,2015-06-14 14:22:33.431803+01:00,15.75,1941,2,810
2015-06-17 18:24:52.039962+01:00,2015-06-17 18:27:31.480119+01:00,14.9,1941,4,159
2015-06-20 16:45:53.430063+01:00,2015-06-20 16:51:38.760232+01:00,16.95,1941,4,345
2015-06-20 19:08:36.327762+01:00,2015-06-20 19:10:58.310209+01:00,17.4,1941,5,141
2015-06-21 19:24:11.818274+01:00,2015-06-21 19:28:41.573280+01:00,17.8,1941,5,269
2015-06-22 15:48:47.718518+01:00,2015-06-22 15:56:19.897558+01:00,45.9,1941,1,452
2015-06-23 19:22:39.195509+01:00,2015-06-23 19:25:47.569738+01:00,22.95,1941,1,188
2015-06-24 15:35:14.642490+01:00,2015-06-24 15:47:39.383331+01:00,45.9,1941,1,744
2015-06-27 18:58:45.193767+01:00,2015-06-27 19:38:16.449164+01:00,14.0,1941,3,2371
2015-06-27 19:20:57.320745+01:00,2015-06-27 19:22:49.863929+01:00,15.15,1941,5,112
2015-06-28 19:38:39.671136+01:00,2015-06-28 19:45:09.751941+01:00,24.7,1941,7,390
2015-06-01 13:07:23.071515+01:00,2015-06-01 13:44:42.909174+01:00,147.7,1514,8,2239
2015-06-03 20:48:30.332950+01:00,2015-06-03 20:56:14.422337+01:00,27.1,1514,4,464
2015-06-03 22:18:21.718153+01:00,2015-06-03 22:22:53.647625+01:00,7.95,1514,1,271
2015-06-05 12:38:33.244904+01:00,2015-06-05 13:59:01.014085+01:00,135.65,1514,10,4827
2015-06-12 19:55:10.285995+01:00,2015-06-12 20:07:47.146691+01:00,30.2,1514,4,756
2015-06-18 22:23:11.818416+01:00,2015-06-18 22:28:09.381352+01:00,26.2,1514,4,297
2015-06-19 22:03:01.530872+01:00,2015-06-19 22:20:43.696130+01:00,51.6,1514,6,1062
2015-06-22 19:27:58.387905+01:00,2015-06-22 19:31:20.595913+01:00,15.45,1514,2,202
2015-06-22 20:07:53.070548+01:00,2015-06-22 20:17:27.493344+01:00,7.95,1514,1,574
2015-06-22 20:14:45.547100+01:00,2015-06-22 20:17:27.407492+01:00,21.5,1514,3,161
2015-06-24 21:16:23.920242+01:00,2015-06-24 21:29:19.251899+01:00,15.25,1514,2,775
2015-06-25 20:07:15.660860+01:00,2015-06-25 20:07:31.214101+01:00,7.95,1514,1,15
2015-06-26 12:53:50.403514+01:00,2015-06-26 13:22:47.261500+01:00,17.9,1514,2,1736
2015-06-01 11:39:44.491932+01:00,2015-06-01 13:31:32.205864+01:00,48.0,604,1,6707
2015-06-01 16:14:43.854500+01:00,2015-06-01 16:30:46.248945+01:00,43.15,604,8,962
2015-06-02 13:35:48.123814+01:00,2015-06-02 14:16:36.267794+01:00,171.85,604,13,2448
2015-06-02 15:04:11.432516+01:00,2015-06-02 15:17:26.246313+01:00,23.95,604,6,794
2015-06-08 20:46:59.427130+01:00,2015-06-08 20:57:06.195035+01:00,28.9,604,4,606
2015-06-09 13:36:19.235977+01:00,2015-06-09 13:47:18.038436+01:00,14.15,604,3,658
2015-06-09 14:31:26.795272+01:00,2015-06-09 14:48:23.236063+01:00,17.5,604,3,1016
2015-06-12 13:09:44.626647+01:00,2015-06-12 13:30:41.312866+01:00,28.25,604,5,1256
2015-06-17 11:31:35.189533+01:00,2015-06-17 13:35:38.848155+01:00,17.5,604,1,7443
2015-06-17 23:59:02.024154+01:00,2015-06-18 00:08:33.062161+01:00,25.2,604,7,571
2015-06-18 12:17:48.693637+01:00,2015-06-18 13:58:12.156114+01:00,16.25,604,2,6023
2015-06-18 12:39:34.102583+01:00,2015-06-18 13:27:47.501978+01:00,28.0,604,3,2893
2015-06-18 13:07:01.198242+01:00,2015-06-18 13:58:12.045450+01:00,36.95,604,6,3070
2015-06-18 23:16:14.865665+01:00,2015-06-18 23:29:12.238566+01:00,29.15,604,4,777
2015-06-19 19:47:09.720042+01:00,2015-06-19 20:00:54.304918+01:00,30.2,604,7,824
2015-06-20 21:39:08.800533+01:00,2015-06-20 22:49:43.030904+01:00,18.0,604,5,4234
2015-06-21 18:26:32.889650+01:00,2015-06-21 18:41:55.340773+01:00,19.2,604,4,922
2015-06-26 13:08:40.718828+01:00,2015-06-26 14:01:58.571461+01:00,78.4,604,12,3197
2015-06-26 21:49:04.788380+01:00,2015-06-26 22:11:27.426275+01:00,28.45,604,6,1342
2015-06-27 16:59:29.935152+01:00,2015-06-27 17:12:06.423439+01:00,15.75,604,3,756
2015-06-27 17:04:32.748874+01:00,2015-06-27 17:12:24.846005+01:00,16.75,604,3,472
2015-06-27 19:13:30.771218+01:00,2015-06-27 19:31:53.614216+01:00,31.0,604,7,1102
2015-06-27 22:15:11.587344+01:00,2015-06-27 22:35:18.089820+01:00,18.7,604,5,1206
2015-06-27 22:24:08.878571+01:00,2015-06-27 22:35:46.258367+01:00,19.7,604,3,697
2015-06-30 23:12:26.678816+01:00,2015-06-30 23:33:19.336941+01:00,31.75,604,5,1252
2015-06-01 13:03:00.025211+02:00,2015-06-01 13:30:38.212802+02:00,12.7782,1869,4,1658
2015-06-01 13:03:05.111532+02:00,2015-06-01 13:37:42.062492+02:00,10.6485,1869,3,2076
2015-06-01 21:36:59.510907+02:00,2015-06-01 21:37:11.287947+02:00,22.7168,1869,9,11
2015-06-01 21:49:55.303752+02:00,2015-06-01 21:54:06.549312+02:00,119.2632,1869,7,251
2015-06-01 21:58:37.558048+02:00,2015-06-01 22:07:51.113503+02:00,10.6485,1869,3,553
2015-06-01 22:55:48.225544+02:00,2015-06-01 22:56:40.748159+02:00,14.198,1869,4,52
2015-06-01 23:20:13.313942+02:00,2015-06-01 23:20:51.638799+02:00,11.3584,1869,3,38
2015-06-02 14:30:02.340413+02:00,2015-06-02 14:30:07.396991+02:00,10.6485,1869,3,5
2015-06-02 21:39:33.807743+02:00,2015-06-02 21:40:29.890399+02:00,24.8465,1869,6,56
2015-06-02 22:12:53.163043+02:00,2015-06-02 22:13:28.392100+02:00,11.3584,1869,3,35
2015-06-03 13:13:58.269049+02:00,2015-06-03 13:38:25.907862+02:00,45.4336,1869,6,1467
2015-06-03 13:35:49.683703+02:00,2015-06-03 13:36:04.324898+02:00,22.7168,1869,3,14
2015-06-03 21:17:42.813975+02:00,2015-06-03 21:18:13.309306+02:00,33.3653,1869,7,30
2015-06-03 22:09:20.626381+02:00,2015-06-03 22:09:25.718312+02:00,22.7168,1869,4,5
2015-06-03 22:14:27.873731+02:00,2015-06-03 22:14:48.301985+02:00,11.3584,1869,3,20
2015-06-03 22:19:10.305404+02:00,2015-06-03 22:19:40.984326+02:00,22.006899999999998,1869,5,30
2015-06-03 22:30:25.057728+02:00,2015-06-03 22:31:35.696260+02:00,30.5257,1869,6,70
2015-06-04 14:03:34.806568+02:00,2015-06-04 14:03:40.022434+02:00,23.4267,1869,5,5
2015-06-04 21:08:35.683670+02:00,2015-06-04 21:21:34.775530+02:00,13.4881,1869,4,779
2015-06-04 22:02:58.319689+02:00,2015-06-04 22:06:49.862975+02:00,22.006899999999998,1869,4,231
2015-06-04 22:26:26.672260+02:00,2015-06-04 22:31:03.714325+02:00,73.8296,1869,13,277
2015-06-05 13:10:38.673061+02:00,2015-06-05 13:37:45.553917+02:00,11.3584,1869,3,1626
2015-06-05 20:35:37.011341+02:00,2015-06-05 21:02:10.868719+02:00,12.068299999999999,1869,3,1593
2015-06-05 20:44:54.752426+02:00,2015-06-05 20:46:25.310835+02:00,24.8465,1869,6,90
2015-06-05 20:51:01.947627+02:00,2015-06-05 20:51:57.502968+02:00,14.198,1869,4,55
2015-06-05 21:16:51.076655+02:00,2015-06-05 21:17:01.173977+02:00,12.068299999999999,1869,3,10
2015-06-05 21:18:51.963924+02:00,2015-06-05 21:20:12.708906+02:00,22.7168,1869,4,80
2015-06-05 21:28:35.716778+02:00,2015-06-05 22:22:27.853596+02:00,16.3277,1869,5,3232
2015-06-05 22:05:27.229102+02:00,2015-06-05 22:06:42.882014+02:00,13.4881,1869,4,75
2015-06-06 12:38:53.440938+02:00,2015-06-06 13:39:55.948995+02:00,14.198,1869,4,3662
2015-06-06 14:55:33.664094+02:00,2015-06-06 14:56:29.092836+02:00,22.7168,1869,5,55
2015-06-06 22:01:58.016824+02:00,2015-06-06 22:10:01.592247+02:00,22.7168,1869,5,483
2015-06-08 14:18:18.046366+02:00,2015-06-08 14:18:38.748211+02:00,38.3346,1869,5,20
2015-06-08 14:34:59.241415+02:00,2015-06-08 14:36:24.729942+02:00,11.3584,1869,6,85
2015-06-08 21:14:36.727857+02:00,2015-06-08 21:20:33.879527+02:00,11.3584,1869,3,357
2015-06-08 21:18:28.038693+02:00,2015-06-08 21:20:33.815874+02:00,11.3584,1869,3,125
2015-06-08 21:55:38.769406+02:00,2015-06-08 21:58:25.363934+02:00,21.297,1869,4,166
2015-06-08 21:57:55.156641+02:00,2015-06-08 22:06:13.769852+02:00,21.297,1869,3,498
2015-06-08 21:59:56.133926+02:00,2015-06-08 22:12:00.535312+02:00,22.006899999999998,1869,5,724
2015-06-08 22:12:20.780410+02:00,2015-06-08 22:17:42.689652+02:00,63.1811,1869,13,321
2015-06-09 21:28:41.237902+02:00,2015-06-09 21:31:57.800140+02:00,22.006899999999998,1869,4,196
2015-06-09 21:48:18.628732+02:00,2015-06-09 21:49:14.207217+02:00,22.7168,1869,4,55
2015-06-09 21:50:44.931781+02:00,2015-06-09 21:51:25.481000+02:00,14.198,1869,4,40
2015-06-09 21:52:20.910025+02:00,2015-06-09 21:53:31.599900+02:00,22.7168,1869,6,70
2015-06-09 23:20:50.817554+02:00,2015-06-09 23:22:57.993877+02:00,16.3277,1869,5,127
2015-06-09 23:21:36.383809+02:00,2015-06-09 23:22:52.666224+02:00,11.3584,1869,3,76
2015-06-10 21:20:37.009973+02:00,2015-06-10 21:21:12.619172+02:00,12.068299999999999,1869,6,35
2015-06-10 22:09:48.758219+02:00,2015-06-10 22:10:54.610601+02:00,22.7168,1869,5,65
2015-06-10 22:23:54.543627+02:00,2015-06-10 22:25:40.397506+02:00,32.6554,1869,7,105
2015-06-10 22:41:41.388795+02:00,2015-06-10 22:43:42.018089+02:00,24.136599999999998,1869,6,120
2015-06-10 22:56:27.451855+02:00,2015-06-10 23:00:58.838296+02:00,21.297,1869,3,271
2015-06-10 23:08:11.400934+02:00,2015-06-10 23:09:01.916146+02:00,11.3584,1869,3,50
2015-06-11 20:30:34.140078+02:00,2015-06-11 21:04:13.079874+02:00,24.8465,1869,6,2018
2015-06-11 21:34:25.214153+02:00,2015-06-11 21:34:52.097936+02:00,27.6861,1869,6,26
2015-06-11 21:48:31.538590+02:00,2015-06-11 21:48:59.409372+02:00,17.7475,1869,4,27
2015-06-11 22:06:32.773178+02:00,2015-06-11 22:07:06.300816+02:00,22.7168,1869,4,33
2015-06-12 13:50:36.374151+02:00,2015-06-12 13:51:11.650547+02:00,11.3584,1869,3,35
2015-06-12 21:44:06.265304+02:00,2015-06-12 21:44:26.573922+02:00,24.8465,1869,7,20
2015-06-12 21:56:26.750050+02:00,2015-06-12 21:56:31.951750+02:00,11.3584,1869,3,5
2015-06-12 21:57:07.926567+02:00,2015-06-12 21:57:18.148095+02:00,18.4574,1869,3,10
2015-06-12 22:26:38.755377+02:00,2015-06-12 23:05:23.366939+02:00,33.3653,1869,5,2324
2015-06-15 13:46:41.713526+02:00,2015-06-15 13:47:53.444049+02:00,13.4881,1869,4,71
2015-06-15 14:34:18.742579+02:00,2015-06-15 14:35:19.302849+02:00,10.6485,1869,3,60
2015-06-15 20:53:36.272520+02:00,2015-06-15 20:54:06.711214+02:00,21.297,1869,4,30
2015-06-15 21:54:38.913476+02:00,2015-06-15 21:55:15.534104+02:00,24.136599999999998,1869,7,36
2015-06-15 22:47:58.456298+02:00,2015-06-15 22:48:48.733375+02:00,34.075199999999995,1869,5,50
2015-06-16 13:50:20.582961+02:00,2015-06-16 13:51:22.361233+02:00,10.6485,1869,3,61
2015-06-16 19:58:20.548350+02:00,2015-06-16 20:33:22.325393+02:00,11.3584,1869,3,2101
2015-06-16 20:23:05.340268+02:00,2015-06-16 20:41:41.348141+02:00,19.8772,1869,4,1116
2015-06-16 20:58:12.939853+02:00,2015-06-16 20:59:23.479136+02:00,24.8465,1869,6,70
2015-06-16 23:16:17.742340+02:00,2015-06-16 23:16:48.176200+02:00,12.068299999999999,1869,3,30
2015-06-16 23:16:58.462601+02:00,2015-06-16 23:17:12.837323+02:00,12.7782,1869,4,14
2015-06-17 13:21:45.912578+02:00,2015-06-17 13:49:04.200752+02:00,11.3584,1869,3,1638
2015-06-17 14:18:38.578642+02:00,2015-06-17 14:18:48.828620+02:00,23.4267,1869,5,10
2015-06-17 21:03:38.116777+02:00,2015-06-17 21:04:52.064379+02:00,12.7782,1869,4,73
2015-06-17 21:30:56.607162+02:00,2015-06-17 21:31:11.918674+02:00,12.068299999999999,1869,3,15
2015-06-17 22:15:20.904041+02:00,2015-06-17 22:16:01.350524+02:00,24.8465,1869,6,40
2015-06-17 22:24:39.642674+02:00,2015-06-17 22:24:49.934559+02:00,13.4881,1869,4,10
2015-06-18 13:56:54.864945+02:00,2015-06-18 13:57:20.393938+02:00,10.6485,1869,3,25
2015-06-18 13:57:10.288664+02:00,2015-06-18 13:57:23.655263+02:00,10.6485,1869,3,13
2015-06-18 14:00:31.803255+02:00,2015-06-18 14:00:47.073089+02:00,11.3584,1869,3,15
2015-06-18 14:04:33.440388+02:00,2015-06-18 14:05:48.983481+02:00,11.3584,1869,3,75
2015-06-18 14:05:13.779919+02:00,2015-06-18 14:05:54.250239+02:00,11.3584,1869,3,40
2015-06-18 14:29:16.897949+02:00,2015-06-18 14:30:52.457445+02:00,10.6485,1869,3,95
2015-06-18 20:36:28.570917+02:00,2015-06-18 20:44:12.407526+02:00,30.5257,1869,7,463
2015-06-18 20:37:29.063800+02:00,2015-06-18 20:39:05.762859+02:00,21.297,1869,3,96
2015-06-18 21:40:55.243556+02:00,2015-06-18 21:41:20.517908+02:00,16.3277,1869,7,25
2015-06-18 21:49:03.549181+02:00,2015-06-18 21:49:18.886496+02:00,25.5564,1869,5,15
2015-06-18 21:55:41.073938+02:00,2015-06-18 21:56:01.288087+02:00,17.037599999999998,1869,2,20
2015-06-18 22:45:57.387200+02:00,2015-06-18 22:46:32.914298+02:00,10.6485,1869,3,35
